Date,Open,High,Low,Close,Adj Close,Volume
2017-03-10,237.970001,238.020004,236.589996,237.690002,231.188934,81991700
2017-03-13,237.619995,237.860001,237.240005,237.809998,231.305649,57256800
2017-03-14,237.179993,237.240005,236.190002,236.899994,230.420532,59880800
2017-03-15,237.559998,239.440002,237.289993,238.949997,232.414459,96081800
2017-03-16,239.110001,239.199997,238.100006,238.479996,231.957306,78344000
2017-03-17,237.750000,237.970001,237.029999,237.029999,231.549957,89002100
2017-03-20,237.029999,237.360001,236.320007,236.770004,231.295959,52537000
2017-03-21,237.470001,237.610001,233.580002,233.729996,228.326233,131809300
2017-03-22,233.770004,234.610001,233.050003,234.279999,228.863525,97569200
2017-03-23,234.279999,235.339996,233.600006,234.029999,228.619308,100410300
2017-03-24,234.380005,235.039993,232.960007,233.860001,228.453262,112504900
2017-03-27,231.929993,233.919998,231.610001,233.619995,228.218796,87454500
2017-03-28,233.270004,235.809998,233.139999,235.320007,229.879501,93483900
2017-03-29,234.990005,235.809998,234.729996,235.539993,230.094391,61950400
2017-03-30,235.470001,236.520004,235.270004,236.289993,230.827057,56737900
2017-03-31,235.899994,236.509995,235.679993,235.740005,230.289780,73733100
2017-04-03,235.800003,236.029999,233.910004,235.330002,229.889267,85546500
2017-04-04,235.000000,235.580002,234.559998,235.479996,230.035797,56466200
2017-04-05,236.259995,237.389999,234.539993,234.779999,229.351990,108800600
2017-04-06,234.940002,236.039993,234.429993,235.440002,229.996735,69135800
2017-04-07,235.149994,236.000000,234.639999,235.199997,229.762268,74412300
2017-04-10,235.360001,236.259995,234.729996,235.339996,229.899033,67615300
2017-04-11,234.899994,235.179993,233.339996,235.059998,229.625504,88045300
2017-04-12,234.740005,234.960007,233.770004,234.029999,228.619308,81864400
2017-04-13,233.639999,234.490005,232.509995,232.509995,227.134460,92880400
2017-04-17,233.110001,234.570007,232.880005,234.570007,229.146835,68405400
2017-04-18,233.720001,234.490005,233.080002,233.869995,228.462982,83225800
2017-04-19,234.520004,234.949997,233.179993,233.440002,228.042953,68699900
2017-04-20,234.149994,235.850006,233.779999,235.339996,229.899033,92572200
2017-04-21,235.250000,235.309998,234.130005,234.589996,229.166351,110389800
2017-04-24,237.179993,237.410004,234.559998,237.169998,231.686722,119209900
2017-04-25,237.910004,238.949997,237.809998,238.550003,233.034821,76698300
2017-04-26,238.509995,239.529999,238.350006,238.399994,232.888275,84702500
2017-04-27,238.770004,238.949997,237.979996,238.600006,233.083664,57410300
2017-04-28,238.899994,238.929993,237.929993,238.080002,232.575684,53247400
2017-05-01,238.679993,239.169998,238.199997,238.679993,233.161804,66882500
2017-05-02,238.839996,238.979996,238.300003,238.770004,233.249741,57375700
2017-05-03,238.770004,238.880005,237.699997,238.479996,232.966431,73137700
2017-05-04,238.830002,238.919998,237.779999,238.759995,233.239960,61462700
2017-05-05,239.190002,239.720001,238.679993,239.699997,234.158234,62001300
2017-05-08,239.750000,239.919998,239.169998,239.660004,234.119156,48385700
2017-05-09,239.960007,240.190002,239.039993,239.440002,233.904251,51363200
2017-05-10,239.389999,239.869995,239.149994,239.869995,234.324295,54293800
